Width,Prob,Time
920,0.6,1530
920,0.65,1414
920,0.7,1314
920,0.75,1225
920,0.8,1147
920,0.85,1082
930,0.2,4643
930,0.25,3708
930,0.3,3082
930,0.35,2658
930,0.4,2326
930,0.45,2065
930,0.5,1862
930,0.55,1687
930,0.6,1547
930,0.65,1429
930,0.7,1330
930,0.75,1237
930,0.8,1162
930,0.85,1095
940,0.2,4714
940,0.25,3742
940,0.3,3122
940,0.35,2681
940,0.4,2352
940,0.45,2090
940,0.5,1883
940,0.55,1710
940,0.6,1562
940,0.65,1444
940,0.7,1344
940,0.75,1252
940,0.8,1172
940,0.85,1105
950,0.2,4739
950,0.25,3785
950,0.3,3170
950,0.35,2711
950,0.4,2367
950,0.45,2105
950,0.5,1901
950,0.55,1731
950,0.6,1586
950,0.65,1461
950,0.7,1357
950,0.75,1268
950,0.8,1186
950,0.85,1116
960,0.2,4811
960,0.25,3837
960,0.3,3190
960,0.35,2738
960,0.4,2385
960,0.45,2130
960,0.5,1922
960,0.55,1749
960,0.6,1595
960,0.65,1476
960,0.7,1366
960,0.75,1281
960,0.8,1203
960,0.85,1129
970,0.2,4846
970,0.25,3878
970,0.3,3223
970,0.35,2783
970,0.4,2417
970,0.45,2161
970,0.5,1943
970,0.55,1761
970,0.6,1616
970,0.65,1496
970,0.7,1383
970,0.75,1292
970,0.8,1211
970,0.85,1138
980,0.2,4890
980,0.25,3918
980,0.3,3277
980,0.35,2799
980,0.4,2455
980,0.45,2177
980,0.5,1955
980,0.55,1780
980,0.6,1629
980,0.65,1505
980,0.7,1399
980,0.75,1305
980,0.8,1224
980,0.85,1153
990,0.2,4936
990,0.25,3962
990,0.3,3293
990,0.35,2824
990,0.4,2477
990,0.45,2192
990,0.5,1994
990,0.55,1797
990,0.6,1651
990,0.65,1519
990,0.7,1416
990,0.75,1319
990,0.8,1238
990,0.85,1163
1000,0.2,4982
1000,0.25,4000
1000,0.3,3337
1000,0.35,2850
1000,0.4,2495
1000,0.45,2216
1000,0.5,1993
1000,0.55,1818
1000,0.6,1669
1000,0.65,1536
1000,0.7,1425
1000,0.75,1332
1000,0.8,1249
1000,0.85,1176
